4451,4695,|Spremembe Proračuna Republike Slovenije za leto 2017 - Amandma: 2330 Ministrstvo za kmetijstvo,gozdarstvo in prehrano (110302) 11.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 2)|,24. redna seja,,,,,,,,,,,,,,,
4443,4687,Spremembe Proračuna Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 4),24. redna seja,,,,,,,,,,,,,,,,
4441,4685,Spremembe Proračuna Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 5),24. redna seja,,,,,,,,,,,,,,,,
4439,4683,Spremembe Proračuna Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 6),24. redna seja,,,,,,,,,,,,,,,,
4437,4681,Spremembe Proračuna Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 7),24. redna seja,,,,,,,,,,,,,,,,
4435,4679,Spremembe Proračuna Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 8),24. redna seja,,,,,,,,,,,,,,,,
4449,4693,Spremembe Proračuna Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 14.10.2016 [Bon Klanjšček Mirjam] (pod številko 1),24. redna seja,,,,,,,,,,,,,,,,
4447,4691,Spremembe Proračuna Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 14.10.2016 [Bon Klanjšček Mirjam] (pod številko 2),24. redna seja,,,,,,,,,,,,,,,,
4445,4689,Spremembe Proračuna Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 14.10.2016 [Bon Klanjšček Mirjam] (pod številko 3),24. redna seja,,,,,,,,,,,,,,,,
4453,4697,|Spremembe Proračuna Republike Slovenije za leto 2017 - Amandma: 2330 Ministrstvo za kmetijstvo,gozdarstvo in prehrano (110302) 11.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 1)|,24. redna seja,,,,,,,,,,,,,,,
4488,4732,|Obvestilo Okrožnega sodišča v Celju,Kazensko preiskovalni oddelek o začetku kazenskega postopka zoper poslanca Janeza Janšo - Glasovanje|,23. redna seja,,,,,,,,,,,,,,,
4471,4715,Odlok o načrtu ravnanja s stvarnim premoženjem države za Državni svet Republike Slovenije za leto 2018 - Glasovanje,24. redna seja,,,,,,,,,,,,,,,,
4478,4722,|Odlok o načrtu ravnanja s stvarnim premoženjem države za organe državne uprave,pravosodne organe,javne zavode,javne gospodarske zavode,javne agencije in javne sklade za leto 2017 - Glasovanje|,24. redna seja,,,,,,,,,,,,
4474,4718,Odlok o načrtu ravnanja s stvarnim premoženjem države za Ustavno sodišče Republike Slovenije za leto 2018 - Glasovanje,24. redna seja,,,,,,,,,,,,,,,,
6291,6535,Dnevni red v celoti,26. izredna seja,,,,,,,,,,,,,,,,
4487,4731,Dnevni red v celoti,24. redna seja,,,,,,,,,,,,,,,,
4486,4730,Proceduralni predlog za prekinitev točke - nesklepčnost,24. redna seja,,,,,,,,,,,,,,,,
4485,4729,Proceduralni predlog za prekinitev točke - nesklepčnost,24. redna seja,,,,,,,,,,,,,,,,
4484,4728,Proceduralni predlog za prekinitev točke - nesklepčnost,24. redna seja,,,,,,,,,,,,,,,,
4483,4727,Proceduralni predlog za prekinitev točke - nesklepčnost,24. redna seja,,,,,,,,,,,,,,,,
4490,4734,|Sklep o spremembi Sklepa o sestavi in imenovanju predsednika,podpredsednika,članov in namestnikov članov  Preiskovalne komisije za ugotavljanje politične odgovornosti nosilcev javnih funkcij pri investiciji v blok 6 Termoelektrarne Šoštanj - Glasovanje|,23. redna seja,,,,,,,,,,,,,,
4482,4726,Proceduralni predlog za prekinitev točke (Jože Tanko - 4. točka dnevnega reda se na podlagi tretjega odstavka 73. člena Poslovnika Državnega zbora prekine do pridobitve mnenja Vlade in Zakonodajno pravne službe),24. redna seja,,,,,,,,,,,,,,,,
4481,4725,Proceduralni predlog za zamenjavo točke 4. in 5.,24. redna seja,,,,,,,,,,,,,,,,
4533,4777,Dnevni red v celoti,23. redna seja,,,,,,,,,,,,,,,,
