4515,4759,|Sklep o razrešitvi podpredsednic in imenovanju podpredsednice in podpredsednikov Odbora za delo,družino,socialne zadeve in invalide,Odbora za izobraževanje,znanost,šport in mladino ter Komisije za poslovnik - Sklep|,23. redna seja,,,,,,,,,,,
4519,4763,Predlog sklepa (razprava o odgovoru ministra za javno upravo Borisa Koprivnikarja na poslansko vprašanje Žana Mahniča v zvezi s prihodom podjetja Uber v Slovenijo.),23. redna seja,,,,,,,,,,,,,,,,
4520,4764,|Predlog sklepa (razprava o odgovoru ministrice za finance mag. Mateje Vraničar Erman na poslansko vprašanje mag. Marka Pogačnika v zvezi s pripojitvijo Factor banke in Probanke k Družbi za upravljanje terjatev bank,d.d. (DUTB).)|,23. redna seja,,,,,,,,,,,,,,,
4521,4765,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje Franca Breznika v zvezi z lokacijo za izpostavo azilnega doma in migrantskega namestitvenega centra.),23. redna seja,,,,,,,,,,,,,,,,
6293,6537,Dnevni red v celoti,25. izredna seja,,,,,,,,,,,,,,,,
4522,4766,|Predlog sklepa (razprava o odgovoru ministrice za izobraževanje,znanost in šport dr. Maje Makovec Brenčič na poslansko vprašanje Tomaža Lisca v zvezi z razvojem športne infrastrukture.)|,23. redna seja,,,,,,,,,,,,,,,
4523,4767,Predlog sklepa (razprava o odgovoru ministrice za finance mag. Mateje Vraničar Erman na poslansko vprašanje Ljuba Žnidarja v zvezi s prikritim zadolževanjem občin v raznih oblikah javno zasebnega partnerstva. ),23. redna seja,,,,,,,,,,,,,,,,
4524,4768,|Predlog sklepa (razprava o odgovoru ministrice za izobraževanje,znanost in šport dr. Maje Makovec Brenčič na poslansko vprašanje Anje Bah Žibert v zvezi z zagotavljanjem pogojev za izvajanje vzgojno-izobraževalnega procesa v osnovnih šolah.)|,23. redna seja,,,,,,,,,,,,,,,
4525,4769,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Mihe Kordiša v zvezi z obcestnim oglaševanjem.),23. redna seja,,,,,,,,,,,,,,,,
4526,4770,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje Jožefa Horvata v zvezi z zagotavljanjem sredstev za izvajanje Zakona o razvojni podpori Pomurski regiji v obdobju 2010 - 2015.),23. redna seja,,,,,,,,,,,,,,,,
4527,4771,Predlog sklepa (razprava o odgovoru ministrice za zdravje Milojke Kolar Celarc na poslansko vprašanje mag. Andreja Širclja v zvezi s poslovanjem javnih zdravstvenih zavodov.),23. redna seja,,,,,,,,,,,,,,,,
4528,4772,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje mag. Branka Grimsa v zvezi s številom prosilcev za mednarodno zaščito in začetkom veljavnosti omejevalnih ukrepov.),23. redna seja,,,,,,,,,,,,,,,,
4529,4773,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje dr. Bojana Dobovška v zvezi s pismom o nameri s podjetjem Uber.),23. redna seja,,,,,,,,,,,,,,,,
4530,4774,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Ive Dimic v zvezi z zastaranjem odmevnih primerov in ključnimi ukrepi v pravosodju.),23. redna seja,,,,,,,,,,,,,,,,
4531,4775,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje dr. Mateja T. Vatovca v zvezi s sprejemanjem trgovinsko-investicijskega sporazuma CETA med Evropsko unijo in Kanado).,23. redna seja,,,,,,,,,,,,,,,,
4552,4796,|Predlog sklepa (razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Violete Tomić v zvezi z izvajanjem sankcij proti lastnikom nevarnih živali)|,22. redna seja,,,,,,,,,,,,,,,
4550,4794,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje mag. Branka Grimsa v zvezi z izvajanjem nadzora na schengenski meji),22. redna seja,,,,,,,,,,,,,,,,
4551,4795,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje Anje Bah Žibert v zvezi s postopki iskanja pogrešanih oseb),22. redna seja,,,,,,,,,,,,,,,,
4553,4797,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje dr. Mateja  T. Vatovca v zvezi z označevanjem izdelkov iz nezakonitih naselbin v Palestini),22. redna seja,,,,,,,,,,,,,,,,
4554,4798,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Danijela Krivca v zvezi z izvajanjem upravljavskega načrta za Triglavski narodni park),22. redna seja,,,,,,,,,,,,,,,,
4555,4799,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Jožeta Tanka v zvezi z okoljskim vidikom obvoznice Škofljica),22. redna seja,,,,,,,,,,,,,,,,
4556,4800,|Predlog sklepa (razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Ive Dimic v zvezi z delovanjem družbe Slovenski državni gozdovi,d. o. o.)|,22. redna seja,,,,,,,,,,,,,,
4557,4801,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje Luke Mesca v zvezi s sprejemanjem trgovinsko-investicijskega sporazuma CETA),22. redna seja,,,,,,,,,,,,,,,,
4558,4802,Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje dr. Vinka Gorenaka v zvezi z uresničevanjem zavez iz koalicijskega sporazuma za področje pravosodja),22. redna seja,,,,,,,,,,,,,,,,
4559,4803,|Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje dr. Vinka Gorenaka v zvezi z oceno stanja na področju integritete,odgovornosti ter vladavine prava,ki se nanašajo na integriteto sedanje Vlade ter njenih ministrov)|,22. redna seja,,,,,,,,,,,,,,
4560,4804,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Jerneja Vrtovca v zvezi s ključnimi ukrepi v zdravstvu in gospodarstvu),22. redna seja,,,,,,,,,,,,,,,,
