4771,5015,"Sklep o razrešitvi in imenovanju predsednika Odbora za pravosodje - Glasovanje","19. redna seja",x,x,x
4773,5017,"Sklep o razrešitvi podpredsednice in imenovanju podpredsednika Odbora za zdravstvo - Glasovanje","19. redna seja",x,x,x
4780,5024,"Zakon o ratifikaciji Sporazuma med Vlado Republike Slovenije in Vlado Gruzije o mednarodnem cestnem prevozu potnikov in blaga - Glasovanje o zakonu v celoti","19. redna seja",x,x,x
4829,5073,"Odlok o spremembi Odloka o ustanovitvi Sveta za radiodifuzijo - Glasovanje","18. redna seja",x,x,x
4826,5070,"|Sklep o razrešitvi podpredsednice in imenovanju podpredsednice Odbora za notranje zadeve","javno upravo in lokalno samoupravo - Glasovanje|",x,x,x
4830,5074,"Sklep o imenovanju osmih članov Programskega sveta RTV Slovenija - na podlagi sedme alineje šestega odstavka 17. člena Zakona o RTV Slovenija - Glasovanje","18. redna seja",x,x,x
4832,5076,"Predlog za imenovanje predsednice in članov Nacionalnega sveta za kulturo - Glasovanje","18. redna seja",x,x,x
4815,5059,"Predlog za izvolitev podpredsednika Državneg zbora - Glasovanje o sestavi komisije za tajno glasovanje","19. redna seja",x,x,x
5665,5909,"|Zakon o ratifikaciji Sporazuma med Vlado Republike Slovenije in Vlado Združenih držav Amerike o plačilu dolga nekdanje Socialistične federativne republike Jugoslavije do Vlade Združenih držav vključno z njenimi agencijami","ki ga izvrši Republika Slovenija in Memoranduma o soglasju med Vlado Republike Slovenije in Vlado Združenih držav Amerike o plačilu dolga nekdanje Socialistične federativne republike Jugoslavije do Vlade Združenih držav vključno z njenimi agencijami",x,x,x
4861,5105,"Odlok o okviru za pripravo proračunov sektorja država za obdobje od 2017 do 2019 - Glasovanje","18. redna seja",x,x,x
4858,5102,"Predlog sklepa (razprava o odgovoru na poslansko vprašanje) (Jožeta Tanka v zvezi s fiskalnim svetom)","18. redna seja",x,x,x
4936,5180,"Sklep o imenovanju članice Programskega sveta RTV Slovenija – na podlagi šeste alineje šestega odstavka 17. člena Zakona o Radioteleviziji Slovenija - Glasovanje","16. redna seja",x,x,x
4911,5155,"Resolucija o Nacionalnem planu zdravstvenega varstva 2016-2025 ""Skupaj za družbo zdravja"" - Glasovanje o aktu v celoti","17. redna seja",x,x,x
5649,5893,"Zakon o spremembah in dopolnitvah Zakona o gospodarskih družbah - Amandma: K 2. členu 3.7.2015 [NSi - Poslanska skupina Nove Slovenije - krščanskih demokratov]","10. redna seja",x,x,x
4943,5187,"Zakon o spremembah in dopolnitvah Zakona o Banki Slovenije - Evidenčni sklep o primernosti predloga zakona 4.3.2016","16. redna seja",x,x,x
4976,5220,"Zakon o mednarodni zaščiti - Amandma: K 70. členu 23.2.2016 [ZL - Poslanska skupina Združena levica] (pod točko 2)","16. redna seja",x,x,x
4977,5221,"Zakon o mednarodni zaščiti - Amandma: K 70. členu 23.2.2016 [ZL - Poslanska skupina Združena levica] (pod točko 1)","16. redna seja",x,x,x
4991,5235,"Predlog za razrešitev članice sveta Javne agencije RS za varstvo konkurence - Glasovanje","16. redna seja",x,x,x
5039,5283,"Zakon o spremembah in dopolnitvah Zakona o mednarodni zaščiti - Evidenčni sklep o primernosti predloga zakona 18.12.2015","14. redna seja",x,x,x
5046,5290,"|Zakon o spremembah in dopolnitvah Zakona o finančnem poslovanju","postopkih zaradi insolventnosti in prisilnem prenehanju - Evidenčni sklep o primernosti predloga zakona 18.12.2015|",x,x,x
5023,5267,"Uradno prečiščeno besedilo (Kazenskega zakonika)","15. redna seja",x,x,x
5024,5268,"Uradno prečiščeno besedilo (Zakona o prevozu v cestnem prometu)","15. redna seja",x,x,x
5069,5313,"|Akt o dopolnitvi Akta o notifikaciji nasledstva glede konvencij UNESCO","mednarodnih večstranskih pogodb o zračnem prometu",x,x,x
5087,5331,"Zakon o spremembi Zakona o dohodnini - Sklep (134. člen Poslovnika)","14. redna seja",x,x,x
5068,5312,"Uradno prečiščeno besedilo (Zakona o železniškem prometu)","14. redna seja",x,x,x
5123,5367,"Zakon o spremembah in dopolnitvah Zakona o romski skupnosti v Republiki Sloveniji - Evidenčni sklep MDT 24.11.2015","13. redna seja",x,x,x
5124,5368,"Sklep o soglasju k Programu dela in finančnem načrtu Agencije za energijo za leto 2016 - Glasovanje","13. redna seja",x,x,x
5117,5361,"Resolucija o nacionalnem stanovanjskem programu 2015 - 2025 - Amandma: K 4. poglavju 10.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 3)","13. redna seja",x,x,x
5121,5365,"Resolucija o nacionalnem stanovanjskem programu 2015 - 2025 - Amandma: K 4. poglavju 10.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 1)","13. redna seja",x,x,x
5119,5363,"Resolucija o nacionalnem stanovanjskem programu 2015 - 2025 - Amandma: K 4. poglavju 10.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 2)","13. redna seja",x,x,x
5145,5389,"Zakon o spremembah in dopolnitvah Zakona o ukrepih Republike Slovenije za krepitev stabilnosti bank - Amandma: K 3. členu 9.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 3)","13. redna seja",x,x,x
